waypoint1	waypoint2	distance_m	duration_s
Big Bend, Texas	Petrified Forest, Arizona	1057498	37868
Big Bend, Texas	Pinnacles, California	2192774	74267
Redwood, California	Big Bend, Texas	2342754	78175
Big Bend, Texas	Rocky Mountain, Colorado	1426211	49503
Big Bend, Texas	Saguaro, Arizona	967360	32056
Big Bend, Texas	Sequoia, California	2086373	70318
Big Bend, Texas	Shenandoah, Virginia	2806683	92400
Big Bend, Texas	Theodore Roosevelt, North Dakota	2278766	77421
Big Bend, Texas	Voyageurs, Minnesota	2693186	88206
Big Bend, Texas	White Sands, New Mexico	582721	19741
Wind Cave, South Dakota	Big Bend, Texas	1761872	61466
Big Bend, Texas	Yellowstone, Wyoming	2194450	74385
Big Bend, Texas	Yosemite, California	2196615	74113
Zion, Utah	Big Bend, Texas	1660166	56317
Black Canyon of the Gunnison, Colorado	Biscayne, Florida	3514336	119673
Bryce Canyon, Utah	Biscayne, Florida	4036598	135258
Canyonlands, Utah	Biscayne, Florida	3730710	125152
Capitol Reef, Utah	Biscayne, Florida	4021601	130799
Carlsbad Caverns, New Mexico	Biscayne, Florida	2893070	95555
Congaree, South Carolina	Biscayne, Florida	1023383	33961
Crater Lake, Oregon	Biscayne, Florida	5224668	172310
Cuyahoga Valley, Ohio	Biscayne, Florida	1960968	65302
Death Valley, California	Biscayne, Florida	4278803	141464
Everglades, Florida	Biscayne, Florida	53738	2593
Great Sand Dunes, Colorado	Biscayne, Florida	3256739	108204
Great Smoky Mountains, North Carolina	Biscayne, Florida	1375506	46874
Gateway Arch, Missouri	Biscayne, Florida	1968167	64009
Glacier, Montana	Biscayne, Florida	4552655	149157
Grand Canyon, Arizona	Biscayne, Florida	3818833	125727
Great Basin, Nevada	Biscayne, Florida	4689648	153040
Biscayne, Florida	Guadalupe Mountains, Texas	2973952	97174
Hot Springs, Arkansas	Biscayne, Florida	2007709	65224
Indiana Dunes, Indiana	Biscayne, Florida	2198046	71608
Joshua Tree, California	Biscayne, Florida	4272730	137988
Kings Canyon, California	Biscayne, Florida	4661853	154809
Biscayne, Florida	Lassen Volcanic, California	5028484	167221
Mammoth Cave, Kentucky	Biscayne, Florida	1624063	52737
Mesa Verde, Colorado	Biscayne, Florida	3552257	118294
Mount Rainier, Washington	Biscayne, Florida	5376611	178847
Biscayne, Florida	North Cascades, Washington	5254007	173893
Petrified Forest, Arizona	Biscayne, Florida	3515960	115382
Pinnacles, California	Biscayne, Florida	4724282	157284
Redwood, California	Biscayne, Florida	4874262	161192
Rocky Mountain, Colorado	Biscayne, Florida	3432376	111515
Biscayne, Florida	Saguaro, Arizona	3611476	116434
Sequoia, California	Biscayne, Florida	4602875	152669
Shenandoah, Virginia	Biscayne, Florida	1675370	55279
Theodore Roosevelt, North Dakota	Biscayne, Florida	3790610	122560
Voyageurs, Minnesota	Biscayne, Florida	3220188	105892
Biscayne, Florida	White Sands, New Mexico	3219606	104177
Wind Cave, South Dakota	Biscayne, Florida	3453266	115195
Yellowstone, Wyoming	Biscayne, Florida	4025150	134311
Yosemite, California	Biscayne, Florida	4635725	153649
Zion, Utah	Biscayne, Florida	3958179	131885
Black Canyon of the Gunnison, Colorado	Bryce Canyon, Utah	597235	22732
Black Canyon of the Gunnison, Colorado	Canyonlands, Utah	308383	11410
Black Canyon of the Gunnison, Colorado	Capitol Reef, Utah	413704	14847
Black Canyon of the Gunnison, Colorado	Carlsbad Caverns, New Mexico	987793	37078
Black Canyon of the Gunnison, Colorado	Congaree, South Carolina	2919287	100955
Black Canyon of the Gunnison, Colorado	Crater Lake, Oregon	1689640	59664
Black Canyon of the Gunnison, Colorado	Cuyahoga Valley, Ohio	2565857	86805
Black Canyon of the Gunnison, Colorado	Death Valley, California	1152712	38379
Black Canyon of the Gunnison, Colorado	Everglades, Florida	3532566	120489
Black Canyon of the Gunnison, Colorado	Great Sand Dunes, Colorado	306255	12499
Black Canyon of the Gunnison, Colorado	Great Smoky Mountains, North Carolina	2539845	88827
Black Canyon of the Gunnison, Colorado	Gateway Arch, Missouri	1686327	59518
Black Canyon of the Gunnison, Colorado	Glacier, Montana	1610079	53509
Black Canyon of the Gunnison, Colorado	Grand Canyon, Arizona	803193	30724
Black Canyon of the Gunnison, Colorado	Great Basin, Nevada	1166354	40055
Black Canyon of the Gunnison, Colorado	Guadalupe Mountains, Texas	1043928	39030
Black Canyon of the Gunnison, Colorado	Hot Springs, Arkansas	1676884	62403
Black Canyon of the Gunnison, Colorado	Indiana Dunes, Indiana	2079661	70389
Black Canyon of the Gunnison, Colorado	Joshua Tree, California	1245144	42216
Black Canyon of the Gunnison, Colorado	Kings Canyon, California	1596303	54454
Black Canyon of the Gunnison, Colorado	Lassen Volcanic, California	1556359	55100
Black Canyon of the Gunnison, Colorado	Mammoth Cave, Kentucky	2148136	76083
Black Canyon of the Gunnison, Colorado	Mesa Verde, Colorado	246188	10896
Black Canyon of the Gunnison, Colorado	Mount Rainier, Washington	1920469	68171
Black Canyon of the Gunnison, Colorado	North Cascades, Washington	1993874	70260
