waypoint1	waypoint2	distance_m	duration_s
Petrified Forest, Arizona	White Sands, New Mexico	621624	21536
Wind Cave, South Dakota	Petrified Forest, Arizona	1600322	51950
Yellowstone, Wyoming	Petrified Forest, Arizona	1362293	46911
Yosemite, California	Petrified Forest, Arizona	1131534	39024
Zion, Utah	Petrified Forest, Arizona	528987	19197
Redwood, California	Pinnacles, California	155700	6189
Pinnacles, California	Rocky Mountain, Colorado	1978169	68870
Pinnacles, California	Saguaro, Arizona	1197329	41357
Pinnacles, California	Sequoia, California	268596	11440
Pinnacles, California	Shenandoah, Virginia	4406276	146853
Pinnacles, California	Theodore Roosevelt, North Dakota	2480015	83248
Pinnacles, California	Voyageurs, Minnesota	3423639	115392
Pinnacles, California	White Sands, New Mexico	1705604	57799
Wind Cave, South Dakota	Pinnacles, California	2319428	76783
Pinnacles, California	Yellowstone, Wyoming	1661378	56056
Pinnacles, California	Yosemite, California	276142	11835
Zion, Utah	Pinnacles, California	987527	35555
Redwood, California	Rocky Mountain, Colorado	2014198	67860
Redwood, California	Saguaro, Arizona	1197596	40715
Redwood, California	Sequoia, California	399665	14906
Redwood, California	Shenandoah, Virginia	4555615	150162
Redwood, California	Theodore Roosevelt, North Dakota	2364591	79060
Redwood, California	Voyageurs, Minnesota	3308216	111203
Redwood, California	White Sands, New Mexico	1857035	61745
Redwood, California	Wind Cave, South Dakota	2204005	72595
Redwood, California	Yellowstone, Wyoming	1545954	51867
Redwood, California	Yosemite, California	269788	11492
Redwood, California	Zion, Utah	1138957	39501
Rocky Mountain, Colorado	Saguaro, Arizona	1530815	51188
Sequoia, California	Rocky Mountain, Colorado	1855767	64272
Shenandoah, Virginia	Rocky Mountain, Colorado	2674180	88981
Rocky Mountain, Colorado	Theodore Roosevelt, North Dakota	943345	33908
Rocky Mountain, Colorado	Voyageurs, Minnesota	1764743	63973
Rocky Mountain, Colorado	White Sands, New Mexico	1064956	37306
Wind Cave, South Dakota	Rocky Mountain, Colorado	533751	19676
Yellowstone, Wyoming	Rocky Mountain, Colorado	859028	30871
Yosemite, California	Rocky Mountain, Colorado	1651189	58914
Zion, Utah	Rocky Mountain, Colorado	1018125	36819
Sequoia, California	Saguaro, Arizona	1093021	38038
Shenandoah, Virginia	Saguaro, Arizona	3467766	113664
Theodore Roosevelt, North Dakota	Saguaro, Arizona	2384080	78663
Voyageurs, Minnesota	Saguaro, Arizona	3056900	104411
White Sands, New Mexico	Saguaro, Arizona	482374	16239
Wind Cave, South Dakota	Saguaro, Arizona	1974485	64431
Yellowstone, Wyoming	Saguaro, Arizona	1741677	58588
Yosemite, California	Saguaro, Arizona	1049871	36910
Zion, Utah	Saguaro, Arizona	774848	26997
Shenandoah, Virginia	Sequoia, California	4284149	142244
Sequoia, California	Theodore Roosevelt, North Dakota	2576550	86745
Sequoia, California	Voyageurs, Minnesota	3459774	117144
Sequoia, California	White Sands, New Mexico	1601614	54195
Wind Cave, South Dakota	Sequoia, California	2231956	75081
Yellowstone, Wyoming	Sequoia, California	1757913	59559
Yosemite, California	Sequoia, California	222185	9277
Zion, Utah	Sequoia, California	865399	30946
Shenandoah, Virginia	Theodore Roosevelt, North Dakota	2694936	90547
Shenandoah, Virginia	Voyageurs, Minnesota	2124514	73880
Shenandoah, Virginia	White Sands, New Mexico	3023832	100762
Wind Cave, South Dakota	Shenandoah, Virginia	2670052	89688
Yellowstone, Wyoming	Shenandoah, Virginia	3297741	111733
Yosemite, California	Shenandoah, Virginia	4189628	140478
Zion, Utah	Shenandoah, Virginia	3556564	118384
Voyageurs, Minnesota	Theodore Roosevelt, North Dakota	944368	32410
Theodore Roosevelt, North Dakota	White Sands, New Mexico	1917631	65167
Wind Cave, South Dakota	Theodore Roosevelt, North Dakota	448937	16948
Yellowstone, Wyoming	Theodore Roosevelt, North Dakota	726264	23498
Yosemite, California	Theodore Roosevelt, North Dakota	2123939	71634
Zion, Utah	Theodore Roosevelt, North Dakota	1828852	60261
Voyageurs, Minnesota	White Sands, New Mexico	2588672	89326
Wind Cave, South Dakota	Voyageurs, Minnesota	1274581	45841
Yellowstone, Wyoming	Voyageurs, Minnesota	1669640	55666
Yosemite, California	Voyageurs, Minnesota	3067315	103802
Zion, Utah	Voyageurs, Minnesota	2677830	90687
Wind Cave, South Dakota	White Sands, New Mexico	1507732	50678
Yellowstone, Wyoming	White Sands, New Mexico	1833009	61873
Yosemite, California	White Sands, New Mexico	1711613	58283
Zion, Utah	White Sands, New Mexico	1154468	39742
Wind Cave, South Dakota	Yellowstone, Wyoming	678439	25803
Wind Cave, South Dakota	Yosemite, California	1898451	64403
Wind Cave, South Dakota	Zion, Utah	1450103	48457
Yosemite, California	Yellowstone, Wyoming	1304561	44178
Zion, Utah	Yellowstone, Wyoming	1009474	32805
Zion, Utah	Yosemite, California	802132	28890
